epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.999,3.25626,3.96998,4.14696,0.00294,0.18966,0.0026,0.00101,3.13058,3.95221,4.17527,0.000408333,0.000408333,0.000408333
2,36.3867,3.01699,3.31186,3.7327,0.00257,0.09992,0.00305,0.00074,3.10004,4.35037,4.41971,0.000816833,0.000816833,0.000816833
3,50.7391,2.58962,2.87542,3.20557,0.50017,0.22281,0.16614,0.06548,2.70464,3.14364,3.42561,0.00121708,0.00121708,0.00121708
4,65.0604,2.26003,2.53886,2.83954,0.54981,0.43783,0.33519,0.16611,1.79406,4.34682,2.50452,0.00121287,0.00121287,0.00121287
5,79.3487,1.91229,2.14669,2.52976,0.68951,0.48135,0.47567,0.22477,1.63235,2.00787,2.18643,0.0012005,0.0012005,0.0012005
6,93.665,1.68036,1.86941,2.25225,0.66155,0.48765,0.50043,0.26672,1.46906,1.66259,2.04559,0.00118812,0.00118812,0.00118812
7,107.924,1.527,1.66708,2.08334,0.78527,0.54681,0.60217,0.3676,1.23952,1.32907,1.72695,0.00117575,0.00117575,0.00117575
8,122.178,1.36696,1.48343,1.91401,0.76805,0.59296,0.67065,0.47267,1.00388,1.11941,1.52169,0.00116337,0.00116337,0.00116337
9,136.384,1.22906,1.32887,1.75767,0.86376,0.5906,0.68166,0.48587,0.97059,1.01282,1.44252,0.001151,0.001151,0.001151
10,150.573,1.16728,1.20939,1.68691,0.81993,0.6464,0.88206,0.61315,0.86723,0.90571,1.33658,0.00113863,0.00113863,0.00113863
11,164.775,1.11967,1.14528,1.64237,0.67871,0.80189,0.82726,0.55134,0.91322,0.85743,1.33848,0.00112625,0.00112625,0.00112625
12,179.229,1.09529,1.10535,1.60313,0.86391,0.67903,0.87949,0.65548,0.81214,0.75167,1.26572,0.00111388,0.00111388,0.00111388
13,193.822,1.02284,0.99611,1.53225,0.90926,0.64199,0.89866,0.65386,0.80609,0.88635,1.25583,0.0011015,0.0011015,0.0011015
14,208.465,1.01794,1.00849,1.53072,0.90912,0.67974,0.9032,0.71753,0.73004,0.78488,1.21164,0.00108913,0.00108913,0.00108913
