epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.77573,3.24739,3.92262,4.28754,0.00421,0.175,0.00294,0.00091,3.02916,3.64564,4.15762,0.00015719,0.00015719,0.00015719
2,11.9293,3.25128,3.66812,4.17998,0.00487,0.17917,0.00344,0.00106,3.02935,3.61062,4.15084,0.000325416,0.000325416,0.000325416
3,16.0873,3.23555,3.53349,4.11522,0.00294,0.19583,0.00313,0.00105,3.02478,3.81954,4.13627,0.000490247,0.000490247,0.000490247
4,20.0304,3.17121,3.31119,3.9868,0.00257,0.19167,0.00384,0.0013,3.02227,3.76867,4.06318,0.000651683,0.000651683,0.000651683
5,23.9966,3.10025,3.26006,3.8848,0.00161,0.12083,0.00553,0.00131,3.02602,4.1261,4.03712,0.000809723,0.000809723,0.000809723
6,27.8979,3.00112,3.05026,3.71895,0.00312,0.20417,0.00753,0.00224,2.97181,3.99274,3.91065,0.000964368,0.000964368,0.000964368
7,31.8686,2.9395,2.92941,3.62777,0.67066,0.09167,0.01045,0.00178,3.04882,5.41886,4.02024,0.00111562,0.00111562,0.00111562
8,35.7605,2.85178,2.85908,3.48519,0.00295,0.20417,0.00638,0.00157,3.10435,3.91185,4.15866,0.00126347,0.00126347,0.00126347
9,39.6477,2.80988,2.83424,3.40042,0.67439,0.04583,0.01308,0.00385,3.22658,6.55621,4.63789,0.00131582,0.00131582,0.00131582
10,43.5839,2.76115,2.74928,3.31462,0.69687,0.025,0.01722,0.00341,3.21361,10.0958,4.73774,0.00130168,0.00130168,0.00130168
11,47.529,2.66816,2.72313,3.19954,0.3845,0.18069,0.0345,0.00855,3.03732,9.14054,4.46564,0.00128753,0.00128753,0.00128753
12,51.4329,2.50542,2.5958,3.08457,0.37561,0.1311,0.03465,0.00926,2.97119,16.5734,3.96769,0.00127338,0.00127338,0.00127338
13,55.3836,2.39119,2.49287,2.97867,0.12268,0.29157,0.12801,0.04828,2.51807,7.25015,3.29379,0.00125923,0.00125923,0.00125923
14,59.2986,2.33205,2.408,2.88089,0.32856,0.18882,0.23718,0.09394,2.19635,3.05399,2.91975,0.00124509,0.00124509,0.00124509
15,63.247,2.30442,2.36899,2.84554,0.22953,0.33089,0.2015,0.06779,2.27044,2.88351,3.04159,0.00123094,0.00123094,0.00123094
16,67.1467,2.18363,2.27792,2.7205,0.83064,0.24911,0.30471,0.15841,2.04123,2.65264,2.82738,0.00121679,0.00121679,0.00121679
17,71.077,2.10886,2.19637,2.66348,0.31317,0.38831,0.3528,0.16781,1.97765,2.15791,2.82132,0.00120265,0.00120265,0.00120265
18,75.0016,2.04976,2.1305,2.60733,0.66801,0.37151,0.39893,0.18369,2.00284,2.00036,2.75882,0.0011885,0.0011885,0.0011885
19,78.9679,1.93426,2.0146,2.5168,0.3771,0.37213,0.42432,0.25613,1.69541,1.7565,2.39296,0.00117435,0.00117435,0.00117435
20,82.8886,1.87271,1.95612,2.49241,0.72256,0.62379,0.73148,0.34913,1.62214,1.94745,2.31401,0.00116021,0.00116021,0.00116021
21,86.8292,1.83665,1.88171,2.40261,0.68684,0.502,0.61914,0.31652,1.59464,1.75732,2.25677,0.00114606,0.00114606,0.00114606
22,90.7261,1.75209,1.7709,2.30544,0.82228,0.60737,0.71993,0.33036,1.63721,1.60364,2.2905,0.00113191,0.00113191,0.00113191
23,94.6048,1.72658,1.70317,2.27188,0.58587,0.71898,0.67079,0.38439,1.46902,1.66564,2.14522,0.00111776,0.00111776,0.00111776
24,98.5312,1.69227,1.66342,2.25321,0.52794,0.6247,0.64637,0.33189,1.54858,1.65056,2.22908,0.00110362,0.00110362,0.00110362
25,102.408,1.60339,1.56957,2.19063,0.6605,0.52949,0.63551,0.40838,1.35579,1.39704,2.01529,0.00108947,0.00108947,0.00108947
26,106.351,1.52866,1.47245,2.10292,0.82395,0.64451,0.74949,0.46235,1.30893,1.24722,1.9646,0.00107532,0.00107532,0.00107532
