epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.24366,3.24743,3.90627,4.4814,0.0003,0.01923,0.00306,0.00031,2.93254,3.94482,4.15886,0.00011669,0.00011669,0.00011669
2,9.39356,3.17741,3.716,4.27809,0.00218,0.25,0.00166,0.00053,2.93097,3.95102,4.1583,0.000247575,0.000247575,0.000247575
3,12.3818,3.22417,3.52123,4.14795,0.00152,0.25,0.00151,0.00046,2.92596,3.94773,4.15714,0.000375818,0.000375818,0.000375818
4,15.3171,3.17243,3.45553,4.08886,0.00159,0.25,0.00186,0.00061,2.91688,3.82817,4.15456,0.000501422,0.000501422,0.000501422
5,18.4058,3.06506,3.26134,3.99512,0.00155,0.25,0.00191,0.00056,2.90303,3.87068,4.14727,0.000624385,0.000624385,0.000624385
6,26.2432,2.95432,3.1779,3.90065,0.00155,0.25,0.00634,0.00166,2.89203,3.90501,4.16028,0.000744707,0.000744707,0.000744707
7,34.4425,2.8773,3.02375,3.82836,0.00135,0.19231,0.0088,0.00221,2.85996,4.10046,4.16259,0.000862389,0.000862389,0.000862389
8,42.546,2.75979,2.86034,3.67811,0.00144,0.28846,0.0071,0.00238,2.85416,4.82677,4.13748,0.00097743,0.00097743,0.00097743
9,47.148,2.83143,2.85476,3.62933,0.50176,0.15385,0.00675,0.0023,2.84554,5.92123,4.13588,0.00108983,0.00108983,0.00108983
10,51.6875,2.74502,2.82735,3.52638,0.50203,0.15385,0.00775,0.00224,2.86374,8.71412,4.1033,0.00119959,0.00119959,0.00119959
11,59.6373,2.63718,2.74523,3.43238,0.00196,0.40385,0.01253,0.00396,2.91605,4.43428,4.00284,0.00130671,0.00130671,0.00130671
12,62.5572,2.6984,2.76731,3.40998,0.50143,0.15385,0.01157,0.00341,2.86403,5.22242,3.93532,0.00141119,0.00141119,0.00141119
13,67.1208,2.60745,2.72237,3.32705,0.50606,0.19231,0.00951,0.00235,2.845,11.9081,4.05958,0.00146896,0.00146896,0.00146896
14,70.0237,2.56479,2.63258,3.2739,0.50493,0.05769,0.00458,0.0013,2.6382,12.9168,3.92834,0.00145246,0.00145246,0.00145246
15,74.5287,2.58236,2.70469,3.2393,0.06885,0.34066,0.04399,0.00956,2.49985,11.2965,3.79647,0.00143595,0.00143595,0.00143595
