epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.6558,6.21271,11.5582,4.3153,0,0,0,0,5.91153,7.44148,4.16031,4e-05,4e-05,4e-05
2,8.98989,5.31663,7.67709,4.43848,0,0,0,0,5.91245,7.44571,4.16167,9.802e-05,9.802e-05,9.802e-05
3,13.2139,5.79072,11.7422,4.27604,0,0,0,0,5.9132,7.44771,4.16271,0.000153664,0.000153664,0.000153664
4,17.5079,5.78422,7.86028,4.19362,0,0,0,0,5.91534,7.45292,4.16538,0.000206932,0.000206932,0.000206932
5,21.7978,5.07709,8.69079,4.14286,0,0,0,0,5.9167,7.45586,4.16701,0.000257824,0.000257824,0.000257824
6,26.2138,6.12201,11.3635,4.13763,0,0,0,0,5.92014,7.46346,4.17088,0.00030634,0.00030634,0.00030634
7,30.4115,4.90133,8.01976,4.14135,0,0,0,0,5.92242,7.46637,4.17328,0.00035248,0.00035248,0.00035248
8,34.765,4.92254,11.1568,4.21743,0,0,0,0,5.92496,7.46655,4.17592,0.000396244,0.000396244,0.000396244
9,39.1188,4.68861,8.29954,4.16343,0,0,0,0,5.92944,7.46832,4.18062,0.000437632,0.000437632,0.000437632
10,43.3432,4.14495,6.94845,3.93695,0,0,0,0,5.9345,7.46359,4.18603,0.000476644,0.000476644,0.000476644
11,47.596,3.3416,5.44356,4.23417,0,0,0,0,5.94025,7.45042,4.19239,0.00051328,0.00051328,0.00051328
12,51.8697,3.53991,4.92513,3.79114,0,0,0,0,5.94628,7.42795,4.19937,0.00054754,0.00054754,0.00054754
13,56.1305,3.21959,5.33577,3.79722,0,0,0,0,5.95452,7.39277,4.20942,0.000579424,0.000579424,0.000579424
14,60.4392,3.908,6.31123,3.79187,0,0,0,0,5.96371,7.35103,4.22009,0.000608932,0.000608932,0.000608932
15,64.6667,3.9944,5.10464,3.61452,0,0,0,0,5.96371,7.35103,4.22009,0.000636064,0.000636064,0.000636064
16,68.9846,3.53423,5.54089,3.24659,0,0,0,0,5.97256,7.29236,4.23195,0.00066082,0.00066082,0.00066082
17,73.1795,3.26489,4.56708,3.36419,0,0,0,0,5.98123,7.21832,4.24417,0.0006832,0.0006832,0.0006832
18,77.3872,3.31275,4.6455,3.31497,0,0,0,0,5.98123,7.21832,4.24417,0.000703204,0.000703204,0.000703204
19,81.6144,3.46553,4.39576,3.23048,0,0,0,0,5.99292,7.11206,4.26095,0.000720832,0.000720832,0.000720832
20,85.8734,2.99166,4.63359,3.19753,0,0,0,0,6.00891,6.97751,4.28334,0.000736084,0.000736084,0.000736084
21,90.0828,3.20617,5.36394,3.23876,0,0,0,0,6.00891,6.97751,4.28334,0.00074896,0.00074896,0.00074896
22,94.3093,3.35369,4.61647,2.9226,0,0,0,0,6.02269,6.82788,4.30389,0.00075946,0.00075946,0.00075946
23,98.5685,2.94775,3.51856,2.97751,0,0,0,0,6.02269,6.82788,4.30389,0.000767584,0.000767584,0.000767584
24,102.848,2.80137,3.78878,2.81709,0,0,0,0,6.0388,6.69256,4.32713,0.000773332,0.000773332,0.000773332
25,107.208,3.07942,4.24998,2.78949,0,0,0,0,6.0388,6.69256,4.32713,0.000776704,0.000776704,0.000776704
26,111.454,2.83905,3.95227,2.93769,0,0,0,0,6.05901,6.59801,4.356,0.0007777,0.0007777,0.0007777
27,115.67,2.7493,3.60601,2.87571,0,0,0,0,6.05901,6.59801,4.356,0.00077632,0.00077632,0.00077632
28,119.925,2.86218,4.07413,2.87936,0,0,0,0,6.08568,6.53764,4.39428,0.000772564,0.000772564,0.000772564
29,124.091,2.80319,4.45067,2.51468,0,0,0,0,6.08568,6.53764,4.39428,0.000766432,0.000766432,0.000766432
30,128.419,2.73316,3.72193,2.59809,0,0,0,0,6.08568,6.53764,4.39428,0.000757924,0.000757924,0.000757924
31,132.789,2.82976,3.65501,2.53624,0,0,0,0,6.11317,6.50493,4.43252,0.00074704,0.00074704,0.00074704
32,137.095,2.52622,3.62316,2.55029,0,0,0,0,6.11317,6.50493,4.43252,0.00073378,0.00073378,0.00073378
33,141.368,2.45733,3.46301,2.57134,0,0,0,0,6.1399,6.44762,4.47616,0.000718144,0.000718144,0.000718144
34,145.602,2.79535,4.24435,2.79037,0,0,0,0,6.1399,6.44762,4.47616,0.0006932,0.0006932,0.0006932
35,149.84,2.36741,3.76401,2.67333,0,0,0,0,6.1399,6.44762,4.47616,0.0006536,0.0006536,0.0006536
36,154.051,2.21946,3.6412,2.41218,0,0,0,0,6.15066,6.38409,4.49993,0.000614,0.000614,0.000614
37,158.21,2.12695,3.11333,2.33171,0,0,0,0,6.15066,6.38409,4.49993,0.0005744,0.0005744,0.0005744
38,162.318,2.53882,3.03241,2.40462,0,0,0,0,6.15066,6.38409,4.49993,0.0005348,0.0005348,0.0005348
39,166.551,2.15658,2.80834,2.36375,0,0,0,0,6.13881,6.39373,4.4845,0.0004952,0.0004952,0.0004952
40,170.857,2.88999,3.36787,2.44291,0,0,0,0,6.13881,6.39373,4.4845,0.0004556,0.0004556,0.0004556
41,175.124,2.3314,4.50417,2.22312,0,0,0,0,6.05291,6.39165,4.35021,0.000416,0.000416,0.000416
42,179.337,2.07111,3.98585,2.21568,0,0,0,0,6.05291,6.39165,4.35021,0.0003764,0.0003764,0.0003764
43,183.564,2.07723,4.01565,2.09251,0,0,0,0,6.05291,6.39165,4.35021,0.0003368,0.0003368,0.0003368
44,187.895,2.08338,3.80861,2.35805,0.00088,0.18182,0.0011,0.00035,5.33149,6.49726,3.91615,0.0002972,0.0002972,0.0002972
45,192.176,2.12155,3.75037,2.40541,0.00088,0.18182,0.0011,0.00035,5.33149,6.49726,3.91615,0.0002576,0.0002576,0.0002576
46,196.419,2.19309,3.76383,2.62906,0.00088,0.18182,0.0011,0.00035,5.33149,6.49726,3.91615,0.000218,0.000218,0.000218
47,200.66,2.41289,3.39515,2.46543,0.002,0.45455,0.08599,0.01979,3.66159,5.45788,3.26041,0.0001784,0.0001784,0.0001784
48,204.841,2.17923,3.49704,2.34257,0.002,0.45455,0.08599,0.01979,3.66159,5.45788,3.26041,0.0001388,0.0001388,0.0001388
49,209.16,2.22467,3.69021,2.3882,0.37435,0.16433,0.19748,0.04767,3.20998,4.68922,2.79631,9.92e-05,9.92e-05,9.92e-05
50,213.405,2.08601,3.76456,2.5954,0.37435,0.16433,0.19748,0.04767,3.20998,4.68922,2.79631,5.96e-05,5.96e-05,5.96e-05
