epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.558,3.32555,6.2719,4.98369,0,0,0,0,3.00669,5.99015,4.15886,0.00014,0.00014,0.00014
2,158.673,3.17218,5.46573,4.30941,0,0,0,0,3.00702,5.96031,4.16116,0.00029703,0.00029703,0.00029703
3,237.651,3.14738,4.67339,4.03908,0,0,0,0,3.00578,5.86591,4.16651,0.000450892,0.000450892,0.000450892
4,314.961,3.05704,4.19839,3.98407,0,0,0,0,3.00189,5.56775,4.1772,0.000601586,0.000601586,0.000601586
5,394.528,2.69544,3.71673,3.81069,0,0,0,0,2.98467,5.18528,4.1949,0.000749112,0.000749112,0.000749112
6,471.996,2.71833,3.53855,3.80183,0,0,0,0,2.96459,4.91506,4.22128,0.00089347,0.00089347,0.00089347
7,549.273,2.49948,3.15332,3.64733,0,0,0,0,2.95813,5.39794,4.24262,0.00103466,0.00103466,0.00103466
8,628.593,2.4435,2.97928,3.42152,0,0,0,0,2.97887,4.84596,4.27287,0.00117268,0.00117268,0.00117268
9,706.282,2.4369,2.83009,3.26933,0,0,0,0,3.01494,4.76643,4.29267,0.00130754,0.00130754,0.00130754
10,786.623,2.34046,2.69756,3.04626,0,0,0,0,2.99917,4.88244,4.33833,0.00143922,0.00143922,0.00143922
11,865.37,2.24077,2.50234,3.02091,0,0,0,0,3.05002,4.7797,4.31283,0.00156774,0.00156774,0.00156774
12,937.89,2.28468,2.71249,3.01568,0,0,0,0,3.06207,4.74844,4.32078,0.00169309,0.00169309,0.00169309
13,1014.14,2.31219,2.33907,2.9753,0,0,0,0,3.17245,4.75279,4.28482,0.0017624,0.0017624,0.0017624
14,1093.61,2.07498,2.28192,2.76081,0.00079,0.13514,0.00058,9e-05,3.04839,4.82371,4.18408,0.0017426,0.0017426,0.0017426
15,1173.49,2.15788,2.33771,2.83582,0.00178,0.2973,0.02665,0.00542,2.7344,4.67838,3.84574,0.0017228,0.0017228,0.0017228
16,1251.93,2.06,2.24441,2.73031,0.53441,0.16216,0.11442,0.02051,2.53617,4.37759,3.56553,0.001703,0.001703,0.001703
17,1331.13,2.01351,2.03197,2.65231,0.15264,0.27027,0.1197,0.03809,2.53564,3.52042,3.24722,0.0016832,0.0016832,0.0016832
18,1406.84,1.82749,1.82535,2.48262,0.15541,0.10811,0.08834,0.02286,2.65379,3.79143,3.17063,0.0016634,0.0016634,0.0016634
19,1483.34,1.86587,1.87253,2.48087,0.25705,0.18919,0.14802,0.07327,2.25128,3.47952,2.94705,0.0016436,0.0016436,0.0016436
20,1562.98,1.81906,1.80458,2.522,0.69328,0.36687,0.38428,0.22374,1.98456,3.60879,3.24656,0.0016238,0.0016238,0.0016238
21,1639.38,1.79525,1.7856,2.46842,0.92406,0.43243,0.46997,0.2754,1.7942,2.99275,2.87658,0.001604,0.001604,0.001604
22,1718.11,1.57533,1.47045,2.32202,0.98562,0.43243,0.53713,0.32906,1.70276,2.4115,2.49396,0.0015842,0.0015842,0.0015842
23,1792.21,1.62398,1.60503,2.37953,0.91858,0.61011,0.86679,0.47065,1.68891,2.18476,2.39889,0.0015644,0.0015644,0.0015644
24,1868.17,1.66554,1.64498,2.37917,0.75701,0.84207,0.86164,0.57807,1.3719,1.63418,2.28157,0.0015446,0.0015446,0.0015446
25,1947.24,1.57141,1.39207,2.21803,1,0.57109,0.72576,0.45301,1.3164,3.50998,2.23206,0.0015248,0.0015248,0.0015248
26,2027.85,1.56983,1.46131,2.27794,0.9259,0.54054,0.74551,0.45262,1.41044,3.01346,2.18198,0.001505,0.001505,0.001505
27,2108.38,1.45621,1.30076,2.18577,0.82469,0.86486,0.9192,0.56373,1.43719,1.5291,2.51799,0.0014852,0.0014852,0.0014852
28,2188.94,1.55283,1.31608,2.20311,0.78939,0.81081,0.89793,0.56761,1.35911,1.52909,2.06204,0.0014654,0.0014654,0.0014654
29,2268.56,1.38503,1.2023,2.02302,0.85327,0.97297,0.96984,0.60847,1.36813,1.419,2.08644,0.0014456,0.0014456,0.0014456
30,2349.06,1.434,1.18824,2.03233,0.91579,0.88196,0.94868,0.65889,1.29546,2.00044,2.24017,0.0014258,0.0014258,0.0014258
31,2429.22,1.3254,1.13757,1.99715,0.94006,0.84787,0.94957,0.70288,1.11621,1.48421,1.99267,0.001406,0.001406,0.001406
32,2509.26,1.28912,1.08702,1.94415,0.96236,0.94595,0.98527,0.68922,1.18169,1.24754,1.96353,0.0013862,0.0013862,0.0013862
33,2589.54,1.43235,1.11078,2.01539,0.86842,0.86486,0.95168,0.63752,1.23161,1.22705,2.17382,0.0013664,0.0013664,0.0013664
34,2667.13,1.28191,1.0823,1.93642,0.99817,0.91892,0.9724,0.71867,1.09187,1.19736,2.04024,0.0013466,0.0013466,0.0013466
35,2746.88,1.23362,1.00201,1.82724,0.94676,0.97297,0.98726,0.6692,1.24242,1.10637,2.13704,0.0013268,0.0013268,0.0013268
36,2827.82,1.16651,0.92933,1.76,1,0.78372,0.91679,0.68566,1.04792,1.20826,2.022,0.001307,0.001307,0.001307
37,2904.63,1.15648,0.94827,1.76737,0.93538,0.97297,0.98118,0.73366,1.01471,1.12637,1.89228,0.0012872,0.0012872,0.0012872
38,2984.92,1.19911,1.01559,1.78147,0.94421,0.97297,0.98495,0.79344,0.85626,1.14933,1.72241,0.0012674,0.0012674,0.0012674
39,3062.75,1.07964,0.88463,1.66568,0.9695,0.85937,0.94736,0.70326,1.03238,1.52636,1.89828,0.0012476,0.0012476,0.0012476
40,3138.34,1.15087,0.97894,1.74127,0.9925,0.91892,0.97034,0.74321,0.96265,1.23275,1.68275,0.0012278,0.0012278,0.0012278
41,3214.18,1.22516,0.93071,1.77944,0.8939,0.91094,0.96266,0.63062,1.25264,1.51133,2.00503,0.001208,0.001208,0.001208
42,3290.57,1.18764,0.92631,1.81017,0.76069,0.8592,0.88982,0.5624,1.24561,2.38524,2.0035,0.0011882,0.0011882,0.0011882
43,3367.09,1.10476,0.88901,1.67427,0.94824,0.99036,0.99235,0.72328,0.95493,1.04387,1.83469,0.0011684,0.0011684,0.0011684
